Index,Population,Garden,Genotype,Cumulative_Mass,Bag_Mass,Inside_Bag_Mass,Inside_Bag_Only_Mass,Year,Row,Column
2,Santa_Cruz,SBBG,405,15.633,7.814,0,0,2017,1,2
SC16,Santa_Cruz,SCI,405,10.548,7.114,0,0,2017,NA,NA
SC36,Santa_Cruz,SCI,405,13.757,7.566,0,0,2017,NA,NA
21,Santa_Cruz,SBBG,406,119.15,58.38,0,0,2016,2,3
29,Santa_Cruz,SBBG,406,373.86,68.68,49.17,6.89,2016,2,11
48,Santa_Cruz,SBBG,406,282.4,58.64,28.45,7.16,2016,3,15
29,Santa_Cruz,SBBG,406,227.734,57.078,0,0,2017,2,11
48,Santa_Cruz,SBBG,406,42.903,7.136,0,0,2017,3,15
SC8,Santa_Cruz,SCI,406,12.873,7.232,0,0,2017,NA,NA
SC14,Santa_Cruz,SCI,406,NA,NA,0,0,2017,NA,NA
SC26,Santa_Cruz,SCI,406,12.75,7.38,0,0,2017,NA,NA
27,Santa_Cruz,SBBG,407,300.33,57.15,47.19,7.55,2016,2,9
94,Santa_Cruz,SBBG,407,175.4,60.44,23.42,7.47,2016,6,13
21,Santa_Cruz,SBBG,407,24.211,7.24,0,0,2017,2,3
27,Santa_Cruz,SBBG,407,109.649,57.666,0,0,2017,2,9
94,Santa_Cruz,SBBG,407,138.413,57.029,0,0,2017,6,13
8,Santa_Cruz,SBBG,408,334.72,61.52,23.69,7.06,2016,1,8
54,Santa_Cruz,SBBG,408,151.05,59.66,19.56,7.2,2016,4,5
70,Santa_Cruz,SBBG,408,297.37,61.97,38.61,8.18,2016,5,4
8,Santa_Cruz,SBBG,408,173.426,57.441,0,0,2017,1,8
54,Santa_Cruz,SBBG,408,100.333,57.93,0,0,2017,4,5
70,Santa_Cruz,SBBG,408,129.092,58.449,0,0,2017,5,4
SC10,Santa_Cruz,SCI,408,10.133,7.125,0,0,2017,NA,NA
SC15,Santa_Cruz,SCI,408,18.952,7.274,0,0,2017,NA,NA
60,Santa_Cruz,SBBG,601,453.17,60.52,159.42,59.71,2016,4,11
60,Santa_Cruz,SBBG,601,124.191,57.368,0,0,2017,4,11
105,Santa_Cruz,SBBG,707,169.8,58.56,17.98,7.34,2016,7,8
105,Santa_Cruz,SBBG,707,140.893,57.785,0,0,2017,7,8
109,Santa_Cruz,SBBG,707,14.73,7.13,0,0,2017,7,12
SC25,Santa_Cruz,SCI,707,84.767,57.567,0,0,2017,NA,NA
50,Santa_Cruz,SBBG,801,10.531,7.223,0,0,2017,4,1
SC28,Santa_Cruz,SCI,801,18.962,7.406,0,0,2017,NA,NA
SC2,Santa_Cruz,SCI,802,76.851,57.189,0,0,2017,NA,NA
SC18,Santa_Cruz,SCI,802,77.035,57.085,0,0,2017,NA,NA
SC23,Santa_Cruz,SCI,802,82.185,58.096,0,0,2017,NA,NA
SC9,Santa_Cruz,SCI,803,NA,NA,0,0,2017,NA,NA
SC21,Santa_Cruz,SCI,804,9.139,7.284,0,0,2017,NA,NA
SC19,Santa_Cruz,SCI,805,14.145,7.184,0,0,2017,NA,NA
SC30,Santa_Cruz,SCI,807,13.081,7.145,0,0,2017,NA,NA
26,Santa_Monicas,SBBG,1,160.36,68.06,48.7,7.29,2016,2,8
53,Santa_Monicas,SBBG,1,120.21,60.27,9.03,8.03,2016,4,4
62,Santa_Monicas,SBBG,1,182.83,57.48,42.51,7.4,2016,4,13
74,Santa_Monicas,SBBG,1,134.62,57.88,21.99,7.19,2016,5,9
108,Santa_Monicas,SBBG,1,105.22,57.48,11.73,7.36,2016,7,11
26,Santa_Monicas,SBBG,1,25.476,7.342,0,0,2017,2,8
53,Santa_Monicas,SBBG,1,69.601,57.706,0,0,2017,4,4
62,Santa_Monicas,SBBG,1,13.647,7.46,0,0,2017,4,13
74,Santa_Monicas,SBBG,1,89.043,56.929,0,0,2017,5,9
108,Santa_Monicas,SBBG,1,96.299,57.328,0,0,2017,7,11
1,Santa_Monicas,SBBG,3,NA,NA,NA,NA,2016,1,1
34,Santa_Monicas,SBBG,3,99.09,58.39,11.22,7.19,2016,2,16
43,Santa_Monicas,SBBG,3,142.69,46.24,18.12,7.36,2016,3,9
55,Santa_Monicas,SBBG,3,110.46,58.75,10.17,7.41,2016,4,6
79,Santa_Monicas,SBBG,3,113.11,57.96,26.29,7.24,2016,5,14
84,Santa_Monicas,SBBG,3,108.75,58.51,10.7,7.29,2016,6,2
1,Santa_Monicas,SBBG,3,9.796,7.121,0,0,2017,1,1
34,Santa_Monicas,SBBG,3,8.756,7.164,0,0,2017,2,16
43,Santa_Monicas,SBBG,3,9.597,7.299,0,0,2017,3,9
55,Santa_Monicas,SBBG,3,NA,NA,0,0,2017,4,6
79,Santa_Monicas,SBBG,3,11.259,7.154,0,0,2017,5,14
24,Santa_Monicas,SBBG,4,95.61,58.65,13.76,7.38,2016,2,6
97,Santa_Monicas,SBBG,4,92.4,58.84,9.31,7.24,2016,6,16
24,Santa_Monicas,SBBG,4,8.709,7.309,0,0,2017,2,6
97,Santa_Monicas,SBBG,4,9.402,7.049,0,0,2017,6,16
111,Santa_Monicas,SBBG,NA,74.07,58.47,8.43,7.22,2016,7,14
111,Santa_Monicas,SBBG,NA,NA,NA,0,0,2017,7,14
19,Santa_Rosa,SBBG,1,242.86,62.28,0,0,2016,2,1
68,Santa_Rosa,SBBG,1,105.31,59.3,0,0,2016,5,2
107,Santa_Rosa,SBBG,1,220.78,61.45,13.41,7.08,2016,7,10
19,Santa_Rosa,SBBG,1,11.666,7.31,0,0,2017,2,1
68,Santa_Rosa,SBBG,1,28.14,7.127,0,0,2017,5,2
107,Santa_Rosa,SBBG,1,142.452,57.365,0,0,2017,7,10
12,Santa_Rosa,SBBG,2,504.79,59.81,167.74,58.15,2016,1,12
31,Santa_Rosa,SBBG,2,265.7,60.41,8.78,8.17,2016,2,13
66,Santa_Rosa,SBBG,2,123.12,57.58,0,0,2016,4,17
12,Santa_Rosa,SBBG,2,162.782,56.588,0,0,2017,1,12
31,Santa_Rosa,SBBG,2,143.706,58.227,0,0,2017,2,13
66,Santa_Rosa,SBBG,2,85.346,57.414,0,0,2017,4,17
18,Santa_Rosa,SBBG,3,197.44,58.65,27.63,7.34,2016,1,18
25,Santa_Rosa,SBBG,3,164.77,60.02,12.73,7.23,2016,2,7
38,Santa_Rosa,SBBG,3,219.89,57.7,15.26,7.17,2016,3,3
44,Santa_Rosa,SBBG,3,310.05,58.06,66.77,7.37,2016,3,11
91,Santa_Rosa,SBBG,3,222.37,59.29,29.18,7.46,2016,6,10
18,Santa_Rosa,SBBG,3,22.612,7.326,0,0,2017,1,18
38,Santa_Rosa,SBBG,3,131.085,57.422,0,0,2017,3,3
44,Santa_Rosa,SBBG,3,98.891,57.689,0,0,2017,3,11
91,Santa_Rosa,SBBG,3,135.722,57.145,0,0,2017,6,10
6,Santa_Rosa,SBBG,206,186.74,60.22,20.75,6.92,2016,1,6
52,Santa_Rosa,SBBG,206,161.77,59.83,18.66,7.27,2016,4,3
6,Santa_Rosa,SBBG,206,116.846,57.546,0,0,2017,1,6
25,Santa_Rosa,SBBG,206,71.032,57.857,0,0,2017,2,7
52,Santa_Rosa,SBBG,206,90.989,57.435,0,0,2017,4,3
87,Santa_Rosa,SBBG,206,22.66,6.857,0,0,2017,6,6
80,Santa_Rosa,SBBG,701,112.01,58.95,0,0,2016,5,15
83,Santa_Rosa,SBBG,701,116.52,59.12,8.41,7.4,2016,6,1
80,Santa_Rosa,SBBG,701,113.874,57.489,0,0,2017,5,15
83,Santa_Rosa,SBBG,701,19.428,7.128,0,0,2017,6,1
93,Santa_Rosa,SBBG,701,23.91,7.086,0,0,2017,6,12
87,Santa_Rosa,SBBG,703,NA,NA,NA,NA,2016,6,6
103,Santa_Rosa,SBBG,703,NA,NA,NA,NA,2016,7,6
72,Santa_Rosa,SBBG,704,226.31,61.82,0,0,2016,5,7
93,Santa_Rosa,SBBG,704,146.72,59.41,8.05,7.14,2016,6,12
72,Santa_Rosa,SBBG,704,74.372,57.721,0,0,2017,5,7
78,Santa_Rosa,SBBG,705,303.88,54.61,17.36,7.43,2016,5,13
96,Santa_Rosa,SBBG,705,219.3,61.16,15.47,7.64,2016,6,15
78,Santa_Rosa,SBBG,705,145.198,57.429,0,0,2017,5,13
96,Santa_Rosa,SBBG,705,144.607,57.814,0,0,2017,6,15
101,Santa_Rosa,SBBG,706,225.77,60.63,42.09,7.55,2016,7,3
101,Santa_Rosa,SBBG,706,110.087,57.758,0,0,2017,7,3
103,Santa_Rosa,SBBG,802,16.616,6.938,0,0,2017,7,6
112,Santa_Rosa,SBBG,NA,230.76,59.32,19.34,7.25,2016,7,15
112,Santa_Rosa,SBBG,NA,123.505,57.273,0,0,2017,7,15
49,Zuma,SBBG,501,19.38,8.4,0,0,2016,3,17
69,Zuma,SBBG,501,NA,NA,NA,NA,2016,5,3
49,Zuma,SBBG,501,10.598,7.234,0,0,2017,3,17
69,Zuma,SBBG,501,11.468,6.976,0,0,2017,5,3
7,Zuma,SBBG,502,116.38,57.61,13,7.54,2016,1,7
39,Zuma,SBBG,503,103.81,57.58,11.52,7.21,2016,3,4
51,Zuma,SBBG,503,90.36,57.97,0,0,2016,4,2
99,Zuma,SBBG,503,22.63,8.74,0,0,2016,7,1
104,Zuma,SBBG,503,90.99,59.54,13.97,7.22,2016,7,7
39,Zuma,SBBG,503,13.46,7.069,0,0,2017,3,4
51,Zuma,SBBG,503,11.314,7.296,0,0,2017,4,2
104,Zuma,SBBG,503,15.056,7.247,0,0,2017,7,7
11,Zuma,SBBG,504,124.69,56.43,13.95,7.12,2016,1,11
32,Zuma,SBBG,504,87.88,57.76,13.61,7.44,2016,2,14
77,Zuma,SBBG,504,177.73,61.3,27.05,7.81,2016,5,12
88,Zuma,SBBG,504,167.12,59.12,34.68,7.07,2016,6,7
32,Zuma,SBBG,504,14.174,7.308,0,0,2017,2,14
77,Zuma,SBBG,504,30.584,7.211,0,0,2017,5,12
88,Zuma,SBBG,504,17.546,7.07,0,0,2017,6,7
